,,, Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q20, Q21,Q22,Q23,, Q25, Q26, Q27, Q28,, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37, Q38, Q39,,,, Q43, Q44, Q45, Q46, Q47
90449295,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,,1,1,1,Don't know what it is,,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,1
90449466,,,3,3,2,1,1,2,Don't know what it is,1,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,3,3,3,2,3,3,3,2,2,Other: ,Don't know what it is,,Other: ,Other: ,Other: ,2,,2,1,Don't know what it is,Don't know what it is,2,2,3,2,Don't know what it is,Don't know what it is,,,,1,0,1,3,2
90449808,,,3,3,,Other: ,Other: ,3,3,2,2,3,Other: ,Other: ,3,Other: ,Other: ,3,3,3,2,1,2,2,2,,3,3,2,3,,3,3,3,2,3,3,3,3,3,3,,,,2,2,0,3,0
90450159,,,2,2,2,2,1,2,2,1,2,3,1,0,1,1,0,1,1,1,1,2,2,1,1,,2,2,2,1,,1,0,2,1,1,1,3,1,1,1,,,,0,0,0,3,3
90450654,,,3,3,3,2,Don't know what it is,2,Don't know what it is,1,2,3,2,Don't know what it is,3,3,3,2,3,3,3,1,Don't know,2,Don't know what it is,,2,2,2,Don't know what it is,,1,1,Don't know what it is,1,Don't know what it is,3,3,3,2,2,,,,2,1,1,2,1
90451185,,,3,2,2,2,2,2,2,1,,2,2,2,2,2,2,2,2,2,2,1,2,3,3,,2,2,2,2,,1,2,2,2,2,2,3,2,3,2,,,,2,1,2,3,2
90451959,,,3,3,2,2,1,2,1,2,2,3,3,2,3,2,3,2,2,2,3,2,2,1,Don't know what it is,,3,2,1,2,,2,2,,2,2,2,3,3,2,3,,,,3,3,Other: ,1,3
90451968,,,3,2,2,2,2,Don't know what it is,1,1,2,2,Don't know what it is,Don't know what it is,3,1,2,2,2,3,1,3,2,1,1,,1,1,1,1,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3
90452229,,,2,2,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,1,2,3,2,,2,2,1,2,,2,2,3,2,2,2,2,3,2,2,,,,2,2,2,2,3
90452274,,,2,2,2,3,Other: ,2,2,3,2,2,Other: ,Other: ,Other: ,2,Other: ,Other: ,2,2,2,1,2,2,Don't know what it is,,Other: ,Other: ,Other: ,Other: ,,Other: ,2,2,Other: ,2,3,Other: ,2,2,2,,,,Other: ,Other: ,Other: ,2,2
90454542,,,3,2,2,1,2,Don't know what it is,1,2,2,2,1,Don't know what it is,3,3,1,1,2,2,3,2,2,1,0,,3,3,3,Don't know what it is,,0,0,2,2,Don't know what it is,0,3,2,Don't know what it is,Don't know what it is,,,,2,2,2,2,3
90454569,,,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,1,3,3,2,,2,2,2,2,,2,2,2,2,2,2,3,3,3,2,,,,1,1,2,2,3
90454605,,,2,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1,1,1,2,2,2,2,Don't know what it is,1,Don't know what it is,Don't know what it is,0,1,2,0,0,,1,1,1,1,,1,1,1,1,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,2,2
90454659,,,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,1,2,3,2,,3,3,3,2,,2,2,2,2,2,2,1,2,2,3,,,,1,1,1,2,1
90454686,,,3,2,2,1,,,,2,1,2,3,2,2,2,2,2,3,3,2,2,2,1,0,,2,3,1,2,,0,0,1,,2,3,3,,2,1,,,,1,1,1,Other: ,2
90455172,,,3,2,,3,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,1,2,3,2,,2,3,2,2,,3,3,2,3,2,2,3,3,2,2,,,,2,3,2,2,3
90455181,,,3,2,2,2,2,2,2,2,2,3,1,Don't know what it is,,2,2,2,2,2,2,2,,2,1,,3,3,3,3,,1,1,1,1,2,2,2,2,2,2,,,,0,0,0,2,2
90455199,,,3,2,2,3,Other: ,Other: ,2,2,2,2,Other: ,Don't know what it is,2,2,2,2,2,2,2,1,Don't know,2,Other: ,,Other: ,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Other: ,2,2,2,2,,,,,,,,2
90455343,,,3,1,2,Don't know what it is,3,3,Don't know what it is,2,1,1,1,0,3,3,3,3,2,3,3,1,1,2,Don't know what it is,,2,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,3,3,3,3,,,,3,3,3,1,1
90459501,,,2,2,3,2,3,3,2,,3,2,3,1,1,2,3,3,3,3,1,1,2,3,1,,2,1,1,2,,1,1,1,Don't know what it is,0,0,3,3,2,1,,,,2,0,2,3,2
90466143,,,2,1,2,2,2,2,Don't know what it is,2,2,2,1,0,2,2,3,2,3,3,1,1,2,1,2,,0,0,1,1,,0,0,1,2,1,1,2,2,2,2,,,,1,0,0,2,0
90466287,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2
90466350,,,1,Other: ,1,,Other: ,1,1,1,1,1,1,,,1,Other: ,1,1,1,1,3,,,0,,Other: ,1,,1,,Other: ,Other: ,Other: ,Other: ,,Other: ,1,Other: ,Other: ,Other: ,,,,0,0,0,Other: ,0
90466584,,,3,2,2,1,1,0,0,2,1,1,0,0,3,2,1,1,2,2,2,2,Don't know,2,0,,2,2,1,Don't know what it is,,1,2,2,0,0,1,1,2,1,1,,,,2,2,2,3,2
90468501,,,2,2,3,1,1,0,0,Other: ,Don't know what it is,Don't know what it is,2,Don't know what it is,0,3,3,3,3,3,2,2,Don't know,1,0,,0,2,0,Don't know what it is,,2,2,Don't know what it is,Don't know what it is,3,3,3,2,1,2,,,,2,2,2,3,0
90471138,,,2,2,2,2,3,3,3,2,2,2,2,Don't know what it is,3,3,2,2,Don't know what it is,2,2,1,Don't know,Don't know what it is,Don't know what it is,,2,2,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,2
90471174,,,3,3,2,1,1,2,1,0,1,0,1,1,2,0,2,0,2,2,0,2,2,1,Don't know what it is,,1,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: ,Other: ,0,,,,2,2,2,2,0
90471246,,,3,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,,3,3,2,2,1,1,,3,3,2,2,,2,2,2,2,2,2,2,2,2,1,,,,2,2,2,2,2
90471264,,,2,2,2,1,2,2,1,Other: ,2,2,1,3,2,2,,1,1,2,2,2,Don't know,2,Don't know what it is,,2,2,2,Don't know what it is,,Other,2,1,2,0,,1,1,,2,,,,2,2,2,2,2
90473244,,,2,1,2,1,2,Don't know what it is,Don't know what it is,2,Don't know what it is,2,2,Don't know what it is,2,1,1,1,1,2,2,2,Don't know,2,Don't know what it is,,2,2,1,Don't know what it is,,1,1,2,1,2,1,2,Don't know what it is,2,2,,,,2,3,3,3,Don't know what it is
90475017,,,3,3,3,2,2,2,1,3,3,2,3,3,2,2,3,2,3,3,2,2,2,3,Don't know what it is,,2,3,2,2,,2,2,2,2,3,3,2,3,2,2,,,,3,2,2,2,3
90476763,,,Other: ,Other: ,Other: ,3,Other: ,3,3,3,Other: ,3,Other: ,Other: ,Other: ,3,3,3,3,3,3,Other: ,3,2,2,,Other: ,3,3,3,,3,3,3,3,3,Other: ,3,3,Other: ,3,,,,Other: ,2,Other: ,Other: ,Other: 
90477159,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Don't know what it is,,2,2,1,2,,2,2,2,2,2,1,2,2,2,2,,,,2,2,2,Other: ,1
90477312,,,3,3,3,1,1,1,Don't know what it is,1,1,Don't know what it is,0,1,1,2,2,0,2,2,0,Other: ,Don't know,2,0,,0,2,2,2,,0,0,3,Don't know what it is,3,Don't know what it is,3,,0,1,,,,0,0,0,Other: ,0
90477456,,,0,Other: ,1,Don't know what it is,Don't know what it is,0,0,2,2,0,2,0,2,2,2,2,3,2,2,2,1,1,0,,3,3,2,2,,1,2,1,2,0,0,3,2,2,0,,,,2,2,0,3,2
90477474,,,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,1,2,1,1,,3,3,3,2,,1,2,1,2,1,2,2,2,2,2,,,,1,1,1,1,1
90490587,,,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,,1,2,1,2,,2,2,2,2,2,2,1,3,3,2,,,,2,2,2,2,3
90490605,,,3,1,2,1,1,2,2,2,1,0,3,Don't know what it is,3,3,1,0,2,2,1,1,2,2,Don't know what it is,,1,1,2,Don't know what it is,,2,2,3,3,3,3,1,1,1,2,,,,3,3,3,3,3
90491127,,,2,2,2,1,1,1,1,2,2,2,1,1,3,2,2,2,2,2,2,1,2,2,0,,2,2,1,2,,1,2,1,1,2,1,1,1,2,2,,,,1,1,1,1,2
90494736,,,2,2,2,2,1,Don't know what it is,Don't know what it is,Other: ,0,Don't know what it is,0,0,3,3,1,2,1,1,2,2,2,2,Don't know what it is,,1,1,2,1,,0,1,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,2,2,2,2,1
90494862,,,3,3,2,2,2,2,3,3,2,2,3,1,2,2,3,3,3,2,2,1,3,2,1,,1,2,1,2,,2,2,2,1,0,Other: ,2,3,2,2,,,,1,1,1,2,2
90495870,,,2,2,1,3,2,3,1,2,1,2,2,Don't know what it is,3,2,1,1,2,2,2,1,2,1,Don't know what it is,,2,2,2,2,,1,1,2,Don't know what it is,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,3,3,3,2,1
90498993,,,2,2,2,1,Other,2,2,0,2,Don't know what it is,1,1,3,Other,2,2,2,2,Other,1,2,1,0,,2,2,2,2,,1,1,1,2,1,Don't know what it is,2,2,2,2,,,,0,0,2,3,2
90499020,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,Other: ,3
90499200,,,2,2,2,3,2,Don't know what it is,Don't know what it is,2,Don't know what it is,3,Don't know what it is,Don't know what it is,3,2,3,2,2,2,Don't know what it is,1,Don't know,2,0,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,1
90500730,,,3,,3,1,Don't know what it is,3,Don't know what it is,2,3,1,2,2,3,3,3,2,2,2,1,2,Don't know,1,0,,Other: ,Other: ,Other: ,Don't know what it is,,Other: ,Don't know what it is,1,Don't know what it is,Don't know what it is,Other: ,3,3,2,Don't know what it is,,,,Other: ,Other: ,Other: ,1,3
90501936,,,3,2,3,2,Other: ,2,Don't know what it is,2,2,2,2,Other: ,3,2,3,2,2,2,1,1,Don't know,2,Don't know what it is,,1,2,2,2,,2,2,Don't know what it is,Don't know what it is,Other: ,2,2,2,2,Don't know what it is,,,,Other: ,Other: ,Other: ,Don't know what it is,Other: 
90503403,,,2,2,3,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,,2,2,2,,,2,1,2,0,2,2,2,2,2,1,,,,3,2,2,3,Other: 
90503673,,,3,2,2,1,2,3,1,1,2,2,3,3,3,3,1,1,2,2,2,2,2,2,1,,3,3,3,3,,1,2,2,2,3,3,3,3,3,3,,,,3,3,3,2,3
90504258,,,2,2,2,1,1,2,2,1,1,1,1,Don't know what it is,2,2,2,1,2,2,2,2,2,2,3,,1,1,2,1,,1,1,2,1,1,1,2,2,2,2,,,,3,3,3,2,3
90504294,,,2,2,2,2,3,Don't know what it is,Don't know what it is,1,2,1,0,Don't know what it is,2,2,2,2,2,2,2,2,2,2,Don't know what it is,,2,2,2,Don't know what it is,,1,1,1,1,0,Don't know what it is,2,2,1,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,3,2
90507606,,,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,,2,1,1,Don't know what it is,,2,2,2,1,1,1,1,2,1,2,,,,2,2,2,1,1
90509253,,,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,3,3,2,1,2,1,1,,1,2,1,1,,1,1,1,2,2,3,2,2,1,2,,,,3,2,2,2,2
90510882,,,3,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,,1,1,1,1,,3,3,2,2,1,2,2,2,2,2,,,,1,1,1,3,1
90511197,,,3,2,3,2,3,2,2,3,3,2,2,1,2,3,,2,2,3,3,1,2,2,1,,3,3,3,3,,2,2,2,3,2,3,3,3,3,2,,,,2,2,1,1,2
90513240,,,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,,1,1,1,1,,1,1,2,2,1,1,2,2,2,2,,,,1,1,1,3,1
90513348,,,2,2,2,2,1,2,2,0,2,2,0,1,1,1,1,2,2,2,1,2,1,1,0,,2,2,1,1,,1,1,2,2,Don't know what it is,1,2,2,2,1,,,,1,1,1,1,2
90520665,,,2,Other,2,Don't know what it is,1,Don't know what it is,Don't know what it is,1,Other,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,1,0,,,Don't know what it is,2,Don't know what it is,,1,Don't know what it is,1,Don't know what it is,Don't know what it is,Don't know what it is,2,2,0,2,,,,1,1,Don't know what it is,3,2
90521844,,,2,2,1,3,1,1,0,1,1,1,0,2,,2,2,1,Other: ,Other: ,2,1,2,2,1,,1,1,2,3,,3,3,Don't know what it is,2,1,1,3,3,1,1,,,,1,1,0,3,0
90525372,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,,1,1,2,2,,2,2,2,1,1,1,2,2,2,1,,,,0,0,0,1,2
90527163,,,2,1,Other,2,2,2,2,1,2,0,2,2,2,2,2,2,2,3,2,2,2,2,2,,1,1,1,1,,1,1,1,1,2,2,2,2,2,2,,,,2,2,2,3,2
90529791,,,Other: ,2,,1,1,1,Don't know what it is,0,1,Don't know what it is,1,0,2,0,Don't know what it is,1,1,1,Other,1,Don't know,1,Don't know what it is,,1,Don't know what it is,Other,Don't know what it is,,0,1,Don't know what it is,Don't know what it is,Other: ,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,1,1,1,1,1
90533616,,,3,3,3,2,2,2,2,2,2,2,2,Don't know what it is,3,3,3,3,3,3,3,1,2,3,1,,3,3,3,Don't know what it is,,1,1,2,2,2,2,2,2,2,2,,,,2,2,2,2,2
90579552,,,3,2,3,1,Other: ,2,3,3,2,3,3,3,3,2,2,2,3,3,3,2,Don't know,3,3,,2,2,2,Don't know what it is,,3,2,3,Other: ,1,1,1,3,3,3,,,,Other: ,Other: ,Other: ,3,3
90580659,,,3,2,3,2,1,2,1,2,2,2,0,2,3,1,2,1,3,3,1,2,2,1,1,,1,1,1,1,,0,1,1,Other: ,1,Other: ,2,1,3,2,,,,2,2,2,1,3
90583026,,,3,3,2,2,1,2,1,2,1,2,2,2,0,3,3,2,1,2,3,2,2,2,2,,3,2,1,2,,1,1,1,2,2,2,3,3,2,2,,,,2,2,2,2,3
90633066,,,3,2,2,2,Don't know what it is,2,Don't know what it is,2,Don't know what it is,Don't know what it is,2,Other: ,2,2,2,2,2,2,2,1,2,2,Don't know what it is,,1,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: 
90633201,,,3,3,3,2,3,2,2,2,2,3,2,2,3,3,3,3,2,2,2,1,3,3,2,,2,2,2,3,,1,1,2,1,2,1,3,3,2,2,,,,2,1,1,3,3
90633201,,,3,2,2,2,3,2,2,3,2,2,3,2,3,3,3,3,2,2,3,1,3,3,3,,3,3,2,3,,2,2,2,2,2,2,3,3,3,3,,,,2,1,2,1,3
90634767,,,3,2,3,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,,1,1,1,1,,0,0,1,1,2,2,2,2,2,1,,,,1,1,1,1,1
90636171,,,Other: ,2,Other: ,Other: ,Other: ,2,2,Other: ,2,2,2,1,Other: ,3,2,2,,2,Other: ,1,3,3,1,,2,2,1,2,,Other: ,2,2,1,2,,Other: ,2,2,Other: ,,,,3,3,2,2,Other: 
90636792,,,3,3,3,3,2,1,3,3,2,2,1,3,3,3,3,3,2,3,3,1,2,3,2,,3,3,2,3,,2,3,2,2,3,2,3,3,2,2,,,,3,2,2,3,3
90637773,,,3,Other: ,Other: ,2,Other: ,2,Other: ,2,Other: ,2,2,3,3,3,3,2,2,2,3,Other: ,2,3,0,,3,3,2,Other: ,,Other: ,Other: ,3,3,3,3,2,2,2,2,,,,2,3,2,2,3
90638781,,,2,1,1,3,2,2,2,2,,2,2,Don't know what it is,2,1,2,2,2,2,1,2,3,1,1,,1,1,1,1,,2,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2
90641283,,,2,2,2,2,Don't know what it is,2,2,1,Other,2,2,2,2,2,1,1,2,2,1,Other,2,1,0,,1,1,1,Don't know what it is,,1,2,2,2,2,1,2,3,2,1,,,,1,1,1,2,1
90641850,,,3,3,3,Don't know what it is,Don't know what it is,2,2,3,2,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,2,2,2,1,1,2,2,1,,2,2,1,2,,1,1,2,1,1,1,3,2,2,1,,,,1,1,1,2,2
90646359,,,2,2,1,2,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,2,Other,0,0,,1,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,1,0,0,0,1,Don't know what it is,Don't know what it is,Don't know what it is,,,,0,0,0,1,1
90646548,,,3,2,2,3,2,3,Don't know what it is,2,2,2,2,3,2,2,2,2,2,2,3,1,2,1,1,,2,2,2,2,,2,2,2,Don't know what it is,2,2,3,2,2,2,,,,3,3,3,1,3
90653595,,,3,2,2,2,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,1,2,2,3,,3,3,3,2,,3,3,3,2,3,3,3,3,3,2,,,,3,2,3,2,3
90654450,,,3,2,2,3,2,2,1,2,2,2,1,3,2,2,3,2,3,3,1,2,2,1,1,,1,1,1,1,,2,2,2,2,2,2,2,2,2,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,3
90655917,,,2,2,2,2,2,3,3,3,3,3,2,Don't know what it is,3,3,2,2,2,2,2,1,2,2,1,,2,2,2,2,,Other: ,Other: ,,,,,,,,,,,,3,3,3,2,3
90662559,,,3,3,2,2,3,2,3,3,3,2,3,2,3,3,3,3,2,2,3,2,3,3,2,,3,3,3,2,,2,2,,3,3,2,3,3,3,2,,,,2,2,2,2,3
90668589,,,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,0,1,1,2,2,Don't know,2,1,,1,2,1,2,,2,1,2,2,2,2,0,1,0,1,,,,3,3,2,1,2
90675276,,,Other: ,2,2,3,1,1,Other: ,Other: ,1,Don't know what it is,Other: ,Other: ,3,3,3,3,Other: ,2,Other: ,1,1,3,Don't know what it is,,Other: ,2,2,Other: ,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: ,1,Don't know what it is,,,,1,1,Other: ,2,Other: 
90696165,,,3,2,2,Don't know what it is,2,3,3,3,2,2,2,Don't know what it is,2,2,3,3,3,3,1,1,2,3,Don't know what it is,,1,1,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,3,3,3,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
90696210,,,3,2,2,1,1,2,1,,2,,2,Other: ,3,2,1,2,Other: ,Other: ,2,1,2,2,0,,2,1,1,2,,1,1,2,2,1,2,3,3,2,Other: ,,,,2,2,Other: ,3,3
94713675,,,Other: ,2,2,1,2,2,Don't know what it is,1,2,2,1,2,1,1,1,2,2,2,1,1,2,2,Don't know what it is,,1,1,2,1,,2,2,2,2,1,2,2,2,2,2,,,,2,2,2,2,2
94715250,,,3,3,3,3,2,2,2,3,Don't know what it is,3,2,Don't know what it is,3,3,3,3,3,3,2,1,3,3,1,,2,3,2,Don't know what it is,,1,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,2,,,,Don't know what it is,Don't know what it is,Don't know what it is,2,2
94715304,,,2,2,2,2,Don't know what it is,2,Don't know what it is,1,2,2,2,Don't know what it is,3,2,2,2,1,2,2,1,2,2,Don't know what it is,,2,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Other: ,1,2,1,,,,2,1,2,2,3
94715529,,,3,2,1,Don't know what it is,1,1,Don't know what it is,0,1,2,2,Don't know what it is,1,0,Don't know what it is,Don't know what it is,Don't know what it is,2,1,2,Don't know,3,Don't know what it is,,0,2,0,Don't know what it is,,2,2,Don't know what it is,0,0,1,2,Don't know what it is,1,Don't know what it is,,,,0,0,2,2,2
94715547,,,3,2,2,1,1,,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,0,,,2,2,1,,1,1,1,1,1,1,2,Don't know what it is,2,1,,,,1,1,1,2,2
94716006,,,3,3,2,1,,2,Other: ,0,1,Don't know what it is,0,Other: ,3,2,3,2,2,2,1,1,2,2,Don't know what it is,,2,2,2,Don't know what it is,,1,1,2,0,Don't know what it is,0,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,0,0,0,1,2
94716114,,,2,2,2,2,Don't know what it is,Don't know what it is,Don't know what it is,1,1,1,2,2,2,2,1,1,Other,1,2,2,Don't know,1,0,,1,1,1,1,,0,1,0,0,1,1,1,1,1,1,,,,0,1,1,3,0
94717689,,,2,1,2,1,1,3,3,3,3,3,Don't know what it is,3,3,3,3,3,3,3,3,1,2,2,Don't know what it is,,2,2,2,2,,Don't know what it is,Don't know what it is,2,2,2,2,3,3,3,3,,,,3,3,3,2,3
94718130,,,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,,2,1,2,3,Don't know what it is,,3,3,3,Don't know what it is,,3,Other,3,3,3,3,3,3,3,3,,,,2,2,2,2,3
94719786,,,2,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,Don't know what it is,2,2,Don't know what it is,2,Don't know what it is,Don't know what it is,2,1,Don't know,2,Don't know what it is,,2,2,2,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is
94722423,,,3,2,3,3,Don't know what it is,Don't know what it is,Don't know what it is,3,Don't know what it is,Don't know what it is,2,2,2,2,3,3,3,3,2,2,Don't know,1,1,,2,3,3,3,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,2,2,2,,,,3,3,3,3,3
94722441,,,3,2,3,2,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,1,,2,2,3,2,,3,3,2,2,3,2,2,3,2,2,,,,2,2,2,2,2
94722486,,,3,3,2,1,3,2,1,2,3,3,0,Don't know what it is,3,3,3,2,1,1,2,1,2,3,1,,3,3,2,2,,2,1,2,0,3,0,3,3,3,2,,,,2,0,3,3,3
94722540,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,,3,1,3,3,,1,3,3,3,3,1,3,3,3,3,,,,3,3,1,3,3
94725735,,,0,0,0,2,2,2,1,2,2,2,1,0,1,1,2,2,2,2,2,1,2,3,2,,2,2,2,2,,0,2,2,0,1,2,2,2,2,2,,,,0,0,0,1,2
94726023,,,2,Other: ,Other: ,3,Other: ,Other: ,Other: ,Other: ,Other: ,Other: ,Don't know what it is,Don't know what it is,Other: ,2,Other: ,Other: ,Other: ,Other: ,2,1,Don't know,Don't know what it is,Don't know what it is,,1,2,1,Don't know what it is,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Other: ,Don't know what it is,,,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is
94726941,,,2,3,2,1,2,1,1,1,1,0,1,0,1,0,2,1,2,2,0,1,2,2,Don't know what it is,,1,1,1,Don't know what it is,,0,0,1,Don't know what it is,1,1,2,2,2,1,,,,0,0,0,Don't know what it is,2
94726941,,,2,2,2,Don't know what it is,2,2,2,0,1,0,0,0,2,2,2,2,1,1,1,1,2,2,0,,1,1,1,Don't know what it is,,0,0,1,Don't know what it is,1,Don't know what it is,1,2,1,2,,,,0,0,0,2,2
94728093,,,3,2,2,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,Don't know what it is,Don't know what it is,Don't know what it is,,2,2,2,1,Don't know what it is,,1,2,1,1,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,2,2,2,Don't know what it is,,,,1,1,1,2,1
94728165,,,2,3,2,Other: ,2,2,2,Other: ,3,Other: ,2,1,2,1,2,2,Other: ,Other: ,2,Other: ,2,3,3,,Other: ,2,Other: ,1,,Other: ,1,1,Other: ,Other: ,Other: ,Other: ,2,1,1,,,,1,1,2,1,2
94728237,,,2,2,2,1,1,1,0,Other: ,2,1,Don't know what it is,1,2,2,1,2,0,0,1,2,1,2,Don't know what it is,,2,1,1,Don't know what it is,,2,2,2,2,1,2,,2,2,1,,,,,Don't know what it is,Don't know what it is,1,2
94728300,,,3,2,2,1,1,0,Don't know what it is,0,1,2,0,2,2,2,3,3,2,2,2,2,Don't know,2,2,,2,1,2,2,,0,0,1,Don't know what it is,Don't know what it is,0,3,3,2,2,,,,2,2,2,2,3
94728354,,,3,2,2,1,2,Don't know what it is,2,2,1,2,1,Other: ,3,3,1,2,Don't know what it is,Don't know what it is,2,2,Don't know,2,Don't know what it is,,1,1,3,Don't know what it is,,Don't know what it is,Don't know what it is,2,Other: ,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,,,,3,2,2,2,Other: 
94742799,,,3,3,0,2,0,Other: ,1,2,2,2,2,1,2,3,3,2,3,3,3,2,2,2,2,,2,3,2,2,,1,2,2,3,3,3,3,3,3,3,,,,2,1,1,3,3
94749342,,,3,2,3,2,2,2,2,2,2,1,1,Don't know what it is,3,2,2,3,3,3,3,1,2,2,Don't know what it is,,3,2,3,2,,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,Don't know what it is,3,2,2,Don't know what it is,,,,3,2,2,3,3
